,Car Make,Car Model,Location,Steering wheel,Fuel,Condition,Transmission,Drive,Type,Paint-color,Cylinders,Mileage (km),Year,Used Car Price(KIP),Car Make_E,Car Model_E,Location_E,Fuel_E,Condition_E,Transmission_E,Drive_E,Paint-color_E,Type_E,Steering wheel_E
0,Kia,Seltos,VTE,LEFT,diesel,VERY GOOD,automatic,FWD,suv,white,4,50000,2021,506000000,3,35,3,1,3,1,4,11,9,0
1,Kia,Cerato,VTE,LEFT,benzine, GOOD,automatic,rwd,sedan,white,4,70000,2015,241500000,3,8,3,0,0,1,5,11,8,0
2,Kia,Cerato,VTE,LEFT,benzine, GOOD,Manual,rwd,sedan,white,4,60000,2015,243800000,3,8,3,0,0,0,5,11,8,0
3,Kia,Cerato,VTE,LEFT,benzine, GOOD,automatic,rwd,sedan,Black,4,38000,2015,273700000,3,8,3,0,0,1,5,0,8,0
4,Kia,Cerato,VTE,LEFT,benzine, GOOD,Manual,rwd,sedan,white,4,52000,2017,303600000,3,8,3,0,0,0,5,11,8,0
5,Kia,Cerato,VTE,LEFT,benzine,Crash,Manual,rwd,sedan,white,4,84000,2018,294400000,3,8,3,0,1,0,5,11,8,0
6,Kia,Cerato,VTE,LEFT,benzine,Crash,automatic,rwd,sedan,white,4,80000,2014,280600000,3,8,3,0,1,1,5,11,8,0
7,Kia,Cerato,VTE,LEFT,benzine,Crash,automatic,rwd,sedan,silver,4,99000,2017,322000000,3,8,3,0,1,1,5,10,8,0
8,Kia,Cerato,VTE,LEFT,benzine,Crash,automatic,rwd,sedan,silver,4,36000,2020,402500000,3,8,3,0,1,1,5,10,8,0
9,Kia,Cerato,VTE,LEFT,benzine,Crash,automatic,rwd,sedan,silver,4,52000,2015,273700000,3,8,3,0,1,1,5,10,8,0
10,Kia,Sportage,VTE,LEFT,diesel,GOOD,automatic,FWD,suv,Black,4,78000,2014,333500000,3,36,3,1,2,1,4,0,9,0
11,Kia,Sportage,VTE,LEFT,diesel,GOOD,automatic,FWD,suv,Black,4,45000,2015,333500000,3,36,3,1,2,1,4,0,9,0
12,Kia,Picanto,VTE,LEFT,benzine,Crash,automatic,rwd,hatchback,Gray,4,69000,2018,202400000,3,23,3,0,1,1,5,3,7,0
13,Kia,Picanto,VTE,LEFT,benzine,Crash,automatic,rwd,hatchback,silver,4,67000,2013,172500000,3,23,3,0,1,1,5,10,7,0
14,Kia,Picanto,VTE,LEFT,benzine,GOOD,automatic,rwd,hatchback,silver,4,68000,2014,172500000,3,23,3,0,2,1,5,10,7,0
15,Kia,Picanto,VTE,LEFT,benzine,Crash,Manual,rwd,hatchback,Green,4,90000,2014,149500000,3,23,3,0,1,0,5,4,7,0
16,Kia,Picanto,VTE,LEFT,benzine,Crash,Manual,rwd,hatchback,Red,4,85000,2014,149500000,3,23,3,0,1,0,5,7,7,0
17,Kia,Carens,VTE,LEFT,diesel,GOOD,Manual,rwd,hatchback,silver,4,52000,2015,248400000,3,7,3,1,2,0,5,10,7,0
18,Kia,Rio,VTE,LEFT,benzine,GOOD,Manual,rwd,hatchback,Gray,4,41000,2018,310500000,3,30,3,0,2,0,5,3,7,0
19,Kia,Sedona,VTE,LEFT,benzine,Crash,automatic,rwd,hatchback,silver,4,50000,2017,517500000,3,34,3,0,1,1,5,10,7,0
20,Kia,Carens,VTE,LEFT,diesel,GOOD,Manual,4wd,hatchback,Gray,4,52000,2017,225400000,3,7,3,1,2,0,1,3,7,0
21,Kia,Rio,VTE,LEFT,benzine,Crash,automatic,rwd,sedan,white,4,70000,2017,287500000,3,30,3,0,1,1,5,11,8,0
22,Kia,Rio,VTE,LEFT,benzine,GOOD,automatic,rwd,sedan,white,4,40000,2020,294400000,3,30,3,0,2,1,5,11,8,0
23,Kia,Rio,VTE,LEFT,benzine,Crash,automatic,rwd,hatchback,silver,4,45000,2019,287500000,3,30,3,0,1,1,5,10,7,0
24,Kia,Rio,VTE,LEFT,benzine,Crash,Manual,rwd,sedan,white,4,90000,2017,241500000,3,30,3,0,1,0,5,11,8,0
25,Kia,Rio,VTE,LEFT,benzine,GOOD,Manual,rwd,sedan,white,4,94000,2016,264500000,3,30,3,0,2,0,5,11,8,0
26,Kia,Rio,VTE,LEFT,benzine,Crash,automatic,rwd,sedan,white,4,70000,2016,264500000,3,30,3,0,1,1,5,11,8,0
27,Kia,Carens,VTE,LEFT,diesel,GOOD,Manual,4wd,hatchback,Gray,4,99000,2016,248400000,3,7,3,1,2,0,1,3,7,0
28,Kia,Rio,VTE,LEFT,benzine,GOOD,automatic,rwd,sedan,Black,4,35000,2017,207000000,3,30,3,0,2,1,5,0,8,0
29,Kia,Rio,VTE,LEFT,benzine,GOOD,Manual,rwd,sedan,Black,4,60000,2017,207000000,3,30,3,0,2,0,5,0,8,0
30,Kia,Sedona,VTE,LEFT,benzine,Crash,automatic,rwd,hatchback,Black,4,48000,2017,517500000,3,34,3,0,1,1,5,0,7,0
31,Hyundai,Elantra,VTE,LEFT,benzine,VERY GOOD,automatic,rwd,sedan,Blue,4,33000,2020,402500000,1,10,3,0,3,1,5,1,8,0
32,Hyundai,Elantra,VTE,LEFT,benzine,GOOD,automatic,rwd,sedan,Black,4,60000,2017,326600000,1,10,3,0,2,1,5,0,8,0
33,Hyundai,Elantra,VTE,LEFT,benzine,GOOD,automatic,rwd,sedan,white,4,75000,2017,241500000,1,10,3,0,2,1,5,11,8,0
34,Hyundai,Elantra,VTE,LEFT,benzine,VERY GOOD,automatic,rwd,sedan,white,4,31000,2020,356500000,1,10,3,0,3,1,5,11,8,0
35,Hyundai,Elantra,VTE,LEFT,benzine,Crash,automatic,rwd,sedan,silver,4,91000,2015,264500000,1,10,3,0,1,1,5,10,8,0
36,Hyundai,Elantra,VTE,LEFT,benzine,Crash,automatic,rwd,sedan,white,4,72000,2015,287500000,1,10,3,0,1,1,5,11,8,0
37,Hyundai,Elantra,VTE,LEFT,benzine,GOOD,automatic,rwd,sedan,Cream,4,48000,2012,250700000,1,10,3,0,2,1,5,2,8,0
38,Hyundai,Elantra,VTE,LEFT,benzine,GOOD,automatic,rwd,sedan,Sugar,4,89000,2015,271400000,1,10,3,0,2,1,5,8,8,0
39,Hyundai,Elantra,VTE,LEFT,benzine,Crash,automatic,rwd,sedan,Black,4,85000,2012,241500000,1,10,3,0,1,1,5,0,8,0
40,Hyundai,Elantra,VTE,LEFT,benzine,Crash,automatic,rwd,sedan,Black,4,25000,2018,342700000,1,10,3,0,1,1,5,0,8,0
