,Cylinders,Mileage (km),Year,Used Car Price(KIP),Car Make_E,Car Model_E,Location_E,Fuel_E,Condition_E,Transmission_E,Drive_E,Paint-color_E,Type_E,Steering wheel_E
0,4,50000,2021,506000000,3,35,3,1,3,1,4,11,9,0
1,4,70000,2015,241500000,3,8,3,0,0,1,5,11,8,0
2,4,60000,2015,243800000,3,8,3,0,0,0,5,11,8,0
3,4,38000,2015,273700000,3,8,3,0,0,1,5,0,8,0
4,4,52000,2017,303600000,3,8,3,0,0,0,5,11,8,0
5,4,84000,2018,294400000,3,8,3,0,1,0,5,11,8,0
6,4,80000,2014,280600000,3,8,3,0,1,1,5,11,8,0
7,4,99000,2017,322000000,3,8,3,0,1,1,5,10,8,0
8,4,36000,2020,402500000,3,8,3,0,1,1,5,10,8,0
9,4,52000,2015,273700000,3,8,3,0,1,1,5,10,8,0
10,4,78000,2014,333500000,3,36,3,1,2,1,4,0,9,0
11,4,45000,2015,333500000,3,36,3,1,2,1,4,0,9,0
12,4,69000,2018,202400000,3,23,3,0,1,1,5,3,7,0
13,4,67000,2013,172500000,3,23,3,0,1,1,5,10,7,0
14,4,68000,2014,172500000,3,23,3,0,2,1,5,10,7,0
15,4,90000,2014,149500000,3,23,3,0,1,0,5,4,7,0
16,4,85000,2014,149500000,3,23,3,0,1,0,5,7,7,0
17,4,52000,2015,248400000,3,7,3,1,2,0,5,10,7,0
18,4,41000,2018,310500000,3,30,3,0,2,0,5,3,7,0
19,4,50000,2017,517500000,3,34,3,0,1,1,5,10,7,0
20,4,52000,2017,225400000,3,7,3,1,2,0,1,3,7,0
21,4,70000,2017,287500000,3,30,3,0,1,1,5,11,8,0
22,4,40000,2020,294400000,3,30,3,0,2,1,5,11,8,0
23,4,45000,2019,287500000,3,30,3,0,1,1,5,10,7,0
24,4,90000,2017,241500000,3,30,3,0,1,0,5,11,8,0
25,4,94000,2016,264500000,3,30,3,0,2,0,5,11,8,0
26,4,70000,2016,264500000,3,30,3,0,1,1,5,11,8,0
27,4,99000,2016,248400000,3,7,3,1,2,0,1,3,7,0
28,4,35000,2017,207000000,3,30,3,0,2,1,5,0,8,0
29,4,60000,2017,207000000,3,30,3,0,2,0,5,0,8,0
30,4,48000,2017,517500000,3,34,3,0,1,1,5,0,7,0
31,4,33000,2020,402500000,1,10,3,0,3,1,5,1,8,0
32,4,60000,2017,326600000,1,10,3,0,2,1,5,0,8,0
33,4,75000,2017,241500000,1,10,3,0,2,1,5,11,8,0
34,4,31000,2020,356500000,1,10,3,0,3,1,5,11,8,0
35,4,91000,2015,264500000,1,10,3,0,1,1,5,10,8,0
36,4,72000,2015,287500000,1,10,3,0,1,1,5,11,8,0
37,4,48000,2012,250700000,1,10,3,0,2,1,5,2,8,0
38,4,89000,2015,271400000,1,10,3,0,2,1,5,8,8,0
39,4,85000,2012,241500000,1,10,3,0,1,1,5,0,8,0
40,4,25000,2018,342700000,1,10,3,0,1,1,5,0,8,0
41,4,89000,2013,248400000,1,10,3,0,2,1,5,10,8,0
